Titre,Année,Public,Durée,Genre,Note,Synopsis,Acteurs,Langues,Pays d'origine,Nombre d'épisodes,Nombre de saisons
Only Fools and Horses,1981–2003,TV-PG,"1,h, ,35,m",Comedy,8.9,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,John Challis,Kenneth MacDonald,Lennard Pearce,Gwyneth Strong,Sue Holderness,Patrick Murray,Tessa Peake-Jones,Paul Barber,John Sullivan,Roy Heather,Denis Lill,Nula Conwell,Steven Woodcock,Julie La Rousse",English,United Kingdom,64,9 seasons
Succession,2018– ,12,"1,h",Drama,8.7,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Nicholas Braun,Brian Cox,Kieran Culkin,Peter Friedman,Matthew Macfadyen,Alan Ruck,Sarah Snook,Jeremy Strong,J. Smith-Cameron,Dagmara Dominczyk,Scott Nicholson,Hiam Abbass,Justine Lupe,David Rasche,Arian Moayed,Rob Yang,Juliana Canfield,Fisher Stevens",English,United States,30,3 seasons
The IT Crowd,2006–2013,13,"25,m",Comedy,8.5,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,Christopher Morris,Noel Fielding,Graham Linehan,Tom Binns,Lewis Macleod,Belinda Stewart-Wilson,Peter Serafinowicz,Gemma Chan,Cordelia Bugeja,Togo Igawa,John Willie Hopkins,Dolly Wells,Pete Deagle,Ben Moor",English,United Kingdom,25,5 seasons
The Newsroom,2012–2014,10,"55,m",Drama,8.6,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.","Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill,Thomas Sadoski,Dev Patel,Olivia Munn,Sam Waterston,Chris Chalk,Margaret Judson,Adina Porter,John F. Carpenter,Thomas Matthews,Trieu Tran,Charlie Weirauch,Wynn Everett,Riley Voelkel,Chris Messina",English,United States,25,3 seasons
The Punisher,2017–2019,16,"53,m","Action,Crime,Drama",8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","Jon Bernthal,Amber Rose Revah,Ben Barnes,Jason R. Moore,Ebon Moss-Bachrach,Floriana Lima,Josh Stewart,Giorgia Whigham,Jaime Ray Newman,Kobi Frumer,Paul Schulze,Michael Nathanson,Royce Johnson,Tony Plana,Ripley Sobo,Daniel Webber,Kelli Barrett,Samuel María Gómez",English,United States,26,2 seasons
Scrubs,2001–2010,Tous publics,"22,m","Comedy,Drama",8.3,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life.","Zach Braff,Donald Faison,Sarah Chalke,John C. McGinley,Ken Jenkins,Neil Flynn,Judy Reyes,Robert Maschio,Sam Lloyd,Aloma Wright,Christa Miller,Johnny Kastl,Travis Schuldt,Eliza Coupe,Frank Encarnacao,Charles Rahi Chun,Mike Schwartz,Elizabeth Banks","English,German,Spanish,American Sign Language",United States,182,9 seasons
Dragon Ball Z,1989–2003,12,"24,m","Animation,Action,Adventure",8.7,"After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.","Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Jillian Michaels,Kyle Hebert,Michael Dobson,Kirby Morrow,Ted Cole,Cynthia Cranz","Japanese,English","Japan,United States,Canada",277,16 seasons
The Big Bang Theory,2007–2019,Tous publics,"22,m","Comedy,Romance",8.1,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"Johnny Galecki,Jim Parsons,Kaley Cuoco,Simon Helberg,Kunal Nayyar,Melissa Rauch,Mayim Bialik,Kevin Sussman,Carol Ann Susi,John Ross Bowie,Laura Spencer,Wil Wheaton,Brian George,Christine Baranski,Brian Posehn,Laurie Metcalf,Joshua Malina,Aarti Mann","English,Hindi,Italian,Russian,Mandarin,Klingon",United States,280,12 seasons
Fleabag,2016–2019,18,"27,m","Comedy,Drama",8.7,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,Bill Paterson,Brett Gelman,Andrew Scott,Hugh Skinner,Ben Aldridge,Hugh Dennis,Jamie Demetriou,Kae Alexander,Anthony Welsh,Ray Fearon,Christian Hillborg,David Hargreaves,Angus Imrie,Christopher Colquhoun",English,United Kingdom,12,2 seasons
Brooklyn Nine-Nine,2013–2021,Tous publics,"22,m","Comedy,Crime",8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Andy Samberg,Stephanie Beatriz,Terry Crews,Melissa Fumero,Joe Lo Truglio,Andre Braugher,Dirk Blocker,Joel McKinnon Miller,Chelsea Peretti,Marc Evan Jackson,Kyra Sedgwick,Jason Mantzoukas,Craig Robinson,Dean Winters,Kyle Bornheimer,Winston Story,Nick Cannon,Kevin Dorff",English,United States,153,8 seasons
Shameless,2011–2021,Tous publics,"46,m","Comedy,Drama",8.5,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,Shanola Hampton,Steve Howey,Emma Kenney,Cameron Monaghan,Michael Patrick McGill,Noel Fisher,Jim Hoffmaster,Brenden Sims,Isidora Goreshter,Christian Isaiah,Joan Cusack,Justin Chatwin,Scott Michael Campbell,Kate Miner",English,United States,134,11 seasons
BoJack Horseman,2014–2020,16,"25,m","Animation,Comedy,Drama",8.7,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful...","Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,Paul F. Tompkins,Adam Conover,Keith Olbermann,Diedrich Bader,Kristen Schaal,Patton Oswalt,Raphael Bob-Waksberg,Aparna Nancherla,J.K. Simmons,Stanley Tucci,Wendie Malick,Angela Bassett,Rami Malek,Stephanie Beatriz",English,United States,77,6 seasons
Spartacus: le sang des gladiateurs,2010–2013,16,"55,m","Action,Adventure,Biography",8.5,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and ...","Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker","English,German",United States,34,3 seasons
Six pieds sous terre,2001–2005,Tous publics,"1,h","Comedy,Drama",8.7,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,Freddy Rodríguez,Mathew St. Patrick,Rachel Griffiths,Justina Machado,Jeremy Sisto,Brenna Tosh,Bronwyn Tosh,James Cromwell,Lili Taylor,Ben Foster,Joanna Cassidy,Richard Jenkins,Giancarlo Rodriguez,Ed O'Ross",English,United States,63,5 seasons
Freaks & Geeks,1999–2000,Tous publics,"44,m","Comedy,Drama",8.7,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"Linda Cardellini,John Francis Daley,James Franco,Samm Levine,Seth Rogen,Jason Segel,Martin Starr,Becky Ann Baker,Joe Flaherty,Busy Philipps,Jerome Elston Scott,Steve Bannos,Dave Allen,Sarah Hagan,Jerry Messing,Natasha Melnick,Stephen Lea Sheppard,Chauncey Leopardi",English,United States,18,2 years
The Crown,2016– ,16,"58,m","Biography,Drama,History",8.6,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,Tobias Menzies,Jonathan Pryce,Lesley Manville,Elizabeth Debicki,Dominic West,Senan West,Charles Edwards,Marion Bailey,Victoria Hamilton,Helena Bonham Carter,Vanessa Kirby,Pip Torrens,Sam Phillips,Erin Doherty",English,United Kingdom,60,5 seasons
Community,2009–2015,Tous publics,"22,m",Comedy,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David",English,United States,110,6 seasons
Souvenirs de Gravity Falls,2012–2016,Tous publics,"23,m","Animation,Action,Adventure",8.9,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,Kevin Michael Richardson,Matt Chapman,Kari Wahlgren,John DiMaggio,Keith Ferguson,Gregg Turkington,Jennifer Coolidge,Carl Faruolo,Niki Yang,Dee Bradley Baker,T.J. Miller,Will Forte,Grey Griffin,Thurop Van Orman",English,United States,40,2 seasons
One Punch Man,2015–2019,12,"24,m","Animation,Action,Comedy",8.8,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,Hiromichi Tezuka,Robbie Daymond,Kyle Hebert,Shôta Yamamoto,Yôji Ueda,Sean Chiplock,Yoshiaki Hasegawa,Kirk Thornton,Shin'ya Hamazoe,Bill Rogers,Hikaru Midorikawa,Ben Lepley,Ben Pronsky,Koichi Soma","Japanese,English",Japan,25,2 seasons
Ted Lasso,2020– ,Tous publics,"30,m","Comedy,Drama,Sport",8.8,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Jason Sudeikis,Brett Goldstein,Brendan Hunt,Nick Mohammed,Hannah Waddingham,Jeremy Swift,Phil Dunster,Juno Temple,Toheeb Jimoh,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Adam Colborne,Bronson Webb,Kevin Garry",English,"United States,United Kingdom",23,3 seasons
Prison Break,2005–2017,Tous publics,"44,m","Action,Crime,Drama",8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to...","Dominic Purcell,Wentworth Miller,Amaury Nolasco,Robert Knepper,Sarah Wayne Callies,Wade Williams,William Fichtner,Paul Adelstein,Rockmond Dunbar,Jodi Lyn O'Keefe,Leon Russom,Marshall Allman,Robin Tunney,Stacy Keach,Michael Rapaport,Peter Stormare,Phillip Edward Van Lear,Muse Watson","English,Arabic,Spanish","United Kingdom,United States",90,5 seasons
Hannibal,2013–2015,12,"44,m","Crime,Drama,Horror",8.5,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,Scott Thompson,Aaron Abrams,Gillian Anderson,Hettienne Park,Kacey Rohl,Lara Jean Chorostecki,Raúl Esparza,Vladimir Jon Cubrt,Katharine Isabelle,Kalen Davidson,Eddie Izzard,Richard Armitage,Gina Torres,Rutina Wesley",English,United States,39,3 seasons
Downton Abbey,2010–2015,Tous publics,"58,m","Drama,Romance",8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,Laura Carmichael,Jim Carter,Michelle Dockery,Joanne Froggatt,Robert James-Collier,Sophie McShera,Lesley Nicol,Maggie Smith,Penelope Wilton,Kevin Doyle,Allen Leech,David Robb,Dan Stevens,Siobhan Finneran",English,United Kingdom,52,6 seasons
Dans leur regard,2019,TV-MA,"4,h, ,56,m","Biography,Crime,Drama",8.9,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"Asante Blackk,Caleel Harris,Ethan Herisse,Marquis Rodriguez,Marsha Stephanie Blake,Kylie Bunbury,John Leguizamo,Niecy Nash,Suzzanne Douglas,Michael Kenneth Williams,Jharrel Jerome,Aunjanue Ellis,Felicity Huffman,Len Cariou,William Sadler,Adepero Oduye,Alexandra Templer,Denia Brache",English,United States,4,1 season
Mindhunter,2017–2019,16,"1,h","Crime,Drama,Thriller",8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,Sonny Valicenti,Stacey Roca,Joe Tuttle,Zachary Scott Ross,Cotter Smith,Albert Jones,Lauren Glazier,Michael Cerveris,Dohn Norwood,Gareth Williams,June Carryl,Cameron Britton,Nate Corddry,Sierra Aylina McClain",English,United States,19,2 seasons
How I Met Your Mother,2005–2014,Tous publics,"22,m","Comedy,Romance",8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"Josh Radnor,Jason Segel,Cobie Smulders,Neil Patrick Harris,Alyson Hannigan,Lyndsy Fonseca,David Henrie,Cristin Milioti,Marshall Manesh,Joe Nieves,Charlene Amoia,Ashley Williams,Suzie Plakson,Jennifer Morrison,Wayne Brady,Bill Fagerbakke,Ellen D. Williams,Chris Elliott","English,Persian,Chinese",United States,208,9 seasons
Arcane,2021– ,16,"41,m","Animation,Action,Adventure",9.4,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Kevin Alejandro,Jason Spisak,Hailee Steinfeld,Harry Lloyd,Toks Olagundoye,JB Blanc,Remy Hii,Dave B. Mitchell,Amirah Vann,Mia Sinclair Jenness,Katie Leung,Josh Keaton,Ella Purnell,Mick Wingert,Erica Lindbeck,Yuri Lowenthal,Abigail Marlowe,Reed Shannon",English,"United States,France",10,2 seasons
Batman,1992–1995,Tous publics,"23,m","Animation,Action,Adventure",9.0,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid",English,United States,85,4 seasons
Mr. Robot,2015–2019,Tous publics,"49,m","Crime,Drama,Thriller",8.5,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to t...","Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,Portia Doubleday,Michael Cristofer,Grace Gummer,BD Wong,Stephanie Corneliussen,Vaishnavi Sharma,Gloria Reuben,Sunita Mani,Azhar Khan,Joey Bada$$,Omar Metwally,Michael Drayer,Michel Gill,Jeremy Holm","English,Swedish,Danish,Chinese,Persian,Spanish,Samoan,Arabic,German",United States,45,4 seasons
The Walking Dead,2010–2022,16,"44,m","Drama,Horror,Thriller",8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Andrew Lincoln,Norman Reedus,Melissa McBride,Lauren Cohan,Josh McDermitt,Christian Serratos,Danai Gurira,Seth Gilliam,Ross Marquand,Chandler Riggs,Jeffrey Dean Morgan,Alanna Masterson,Khary Payton,Steven Yeun,Cooper Andrews,Sonequa Martin-Green,Callan McAuliffe,Eleanor Matsuura",English,United States,177,11 seasons
Twin Peaks,1990–1991,Tous publics,"47,m","Crime,Drama,Mystery",8.8,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe","English,Icelandic,Afrikaans,Norwegian",United States,30,2 seasons
Philadelphia,2005– ,10,"22,m",Comedy,8.8,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,Danny DeVito,Mary Elizabeth Ellis,David Hornsby,Artemis Pebdani,Lynne Marie Stewart,David Zdunich,Sandy Martin,Lance Barber,Andrew Friedman,Gregory Scott Cummins,Jimmi Simpson,Nate Mooney,Michael Naughton,Catherine Reitman",English,United States,162,15 seasons
Le jeu de la dame,2020,16,"6,h, ,35,m",Drama,8.6,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","Anya Taylor-Joy,Chloe Pirrie,Bill Camp,Marcin Dorocinski,Marielle Heller,Thomas Brodie-Sangster,Moses Ingram,Harry Melling,Isla Johnston,Janina Elkin,Matthew Dennis Lewis,Russell Dennis Lewis,Patrick Kennedy,Christiane Seidel,Jacob Fortune-Lloyd,Akemnji Ndifornyen,Annabeth Kelly,Dolores Carbonari","English,French,Spanish,Russian",United States,7,1 season
Vikings,2013–2020,12,"44,m","Action,Adventure,Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst,Alex Høgh Andersen,Jordan Patrick Smith,Marco Ilsø,Peter Franzén,Travis Fimmel,Clive Standen,John Kavanagh,Jennie Jacques,Maude Hirst,Moe Dunford,Alyssa Sutherland,Linus Roache,George Blagden,Adam Copeland","English,Old English,Norse, Old,Latin,French,Arabic,Greek, Ancient (to 1453),Russian","Ireland,Canada",93,6 seasons
Les Simpson,1989– ,Tous publics,"22,m","Animation,Comedy",8.6,The satiric adventures of a working-class family in the misfit city of Springfield.,"Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner,Yeardley Smith,Hank Azaria,Pamela Hayden,Tress MacNeille,Maggie Roswell,Chris Edgerly,Karl Wiedergott,Russi Taylor,Marcia Wallace,Kevin Michael Richardson,Phil Hartman,Joe Mantegna,Maurice LaMarche,Kelsey Grammer","English,Spanish,Albanian,French,Japanese,German,Russian,Hindi,Swahili,Italian,Swedish,Turkish,Cantonese,Mandarin,Hebrew,Arabic,Klingon,Bengali,Czech,Chinese",United States,731,34 seasons
Daredevil,2015–2018,18,"54,m","Action,Crime,Drama",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson,Royce Johnson,Geoffrey Cantor,Jay Ali,Jon Bernthal,Stephen Rider,Wilson Bethel,Ayelet Zurer,Peter McRobbie,Amy Rutberg,Elodie Yung,Toby Leonard Moore,Joanne Whalley,Vondie Curtis-Hall,Bob Gunton",English,United States,39,3 seasons
Arrested development - Les nouveaux pauvres,2003–2019,Tous publics,"22,m",Comedy,8.7,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,Alia Shawkat,Tony Hale,David Cross,Jeffrey Tambor,Jessica Walter,Ron Howard,Henry Winkler,John Beard,Liza Minnelli,Mae Whitman,Justin Grant Wade,Ed Begley Jr.,Isla Fisher,Maria Bamford",English,United States,84,5 seasons
The Boys,2019– ,16,"1,h","Action,Crime,Drama",8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,Dominique McElligott,Jessie T. Usher,Laz Alonso,Chace Crawford,Tomer Capon,Karen Fukuhara,Nathan Mitchell,Colby Minifie,Aya Cash,Claudia Doumit,Cameron Crovetti,Elisabeth Shue,Shantel VanSanten,Nneka Elliott",English,United States,24,3 seasons
Westworld,2016– ,10,"1,h, ,2,m","Drama,Mystery,Sci-Fi",8.6,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandiwe Newton,Tessa Thompson,James Marsden,Luke Hemsworth,Angela Sarafyan,Anthony Hopkins,Simon Quarterman,Rodrigo Santoro,Shannon Woodward,Jimmi Simpson,Talulah Riley,Ptolemy Slocum,Leonardo Nam,Aaron Paul,Ingrid Bolsø Berdal",English,United States,36,4 seasons
Fullmetal Alchemist: Brotherhood,2009–2012,Tous publics,"24,m","Animation,Action,Adventure",9.1,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Kent Williams,Iemasa Kayumi,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,Kenta Miyake,J. Michael Tatum,Yuki Hayashi,Caitlin Glass,Monica Rial,Megumi Takamoto",Japanese,Japan,69,3 years
Seinfeld,1989–1998,Tous publics,"22,m",Comedy,8.8,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,Ruth Cohen,Wayne Knight,Norman Brenner,Heidi Swedberg,Estelle Harris,Jerry Stiller,Liz Sheridan,John O'Hurley,Barney Martin,Len Lesser,Deck McKenzie,Richard Herd,Peggy Lane,Richard Fancy",English,United States,173,9 seasons
South Park,1997– ,16,"22,m","Animation,Comedy",8.7,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,April Stewart,Adrien Beard,Eliza Schneider,Jennifer Howell,Jessica Makinson,Mary Kay Bergman,Omaira Coromoto Rivero,Sergio Sáez,Kyle McCulloch,John 'Nancy' Hansen,Vernon Chatman,Elisa Gabrielli,Betty Boogie Parker,Jonathan Kimmel",,,311,24 seasons
Dark,2017–2020,16,"1,h","Crime,Drama,Mystery",8.8,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Jördis Triebel,Andreas Pietschmann,Stephan Kampwirth,Paul Lux,Christian Hutcherson,Oliver Masucci,Moritz Jahn,Peter Benedict,Gina Stiebitz,Deborah Kaufmann,Daan Lennard Liebrenz,Julika Jenkins,Carlotta von Falkenhayn,Tamar Pelzig",German,"Germany,United States",26,3 seasons
Better Call Saul,2015–2022,Tous publics avec avertissement,"46,m","Crime,Drama",8.8,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Kerry Condon,Mark Margolis,Cara Pifko,Jeremiah Bitsui,Dennis Boutsikaris,Rex Linn,Josh Fadem,Julian Bonfiglio,Ray Campbell,John Christian Love","English,Spanish,Vietnamese",United States,63,6 seasons
Dr House,2004–2012,Tous publics,"44,m","Drama,Mystery",8.7,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,Lisa Edelstein,Bobbin Bergstrom,Jennifer Morrison,Peter Jacobson,Olivia Wilde,Kal Penn,Odette Annable,Charlyne Yi,Anne Dudek,Jennifer Crystal Foley,Amber Tamblyn,Liz Benoit,Stephanie Venditto,Sela Ward",English,United States,176,8 seasons
The Mandalorian,2019– ,12,"40,m","Action,Adventure,Sci-Fi",8.8,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal,Carl Weathers,Barry Lowin,Gina Carano,Giancarlo Esposito,Chris Bartlett,Misty Rosas,Omid Abtahi,Temuera Morrison,Ming-Na Wen,Katy M. O'Brian,Rio Hackford,Amy Sedaris,Nick Nolte,Werner Herzog,Taika Waititi,Emily Swallow,Gabriel Ebert",English,United States,24,3 seasons
Narcos,2015–2017,12,"49,m","Biography,Crime,Drama",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Pedro Pascal,Lizbeth Eden,Wagner Moura,Boyd Holbrook,Alberto Ammann,Muratcan Savci,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie","English,Spanish","United States,Colombia,Mexico",30,3 seasons
Dexter,2006–2013,12,"53,m","Crime,Drama,Mystery",8.6,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in th...","Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,C.S. Lee,Luna Lauren Velez,Desmond Harrington,Julie Benz,Christina Robinson,Geoff Pierson,Preston Bailey,Aimee Garcia,Luke Andrew Kruntchev,Erik King,Evan George Kruntchev,Dana L. Wilson,Yvonne Strahovski,David Ramsey","English,Spanish",United States,96,8 seasons
Peaky Blinders,2013– ,10,"1,h","Crime,Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,Ned Dennehy,Finn Cole,Ian Peck,Natasha O'Keeffe,Harry Kirton,Joe Cole,Packy Lee,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Jordan Bolger,Sam Neill,Tom Hardy","English,Romanian,Irish Gaelic,Italian,Yiddish",United Kingdom,36,6 seasons
Firefly,2002–2003,Tous publics,"44,m","Adventure,Drama,Sci-Fi",9.0,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority ag...","Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Isabella Hofmann,Doug Savant,Tom Towles","English,Mandarin",United States,14,3 years
House of Cards,2013–2018,Tous publics,"51,m",Drama,8.7,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,Michael Kelly,Justin Doescher,Derek Cecil,Jayne Atkinson,Nathan Darrow,Mahershala Ali,Boris McGiver,Paul Sparks,Molly Parker,Neve Campbell,Jeremy Holm,Marla Aaron Wapner,Nini Le Huynh,Gregory Divers",English,United States,73,6 seasons
