Titre,Année,Public,Durée,Genre,Note,Synopsis,Acteurs,Langues,Pays d'origine,Nombre d'épisodes,Nombre de saisons
Star Trek,1966–1969,Tous publics,"50,m","Action,Adventure,Sci-Fi",8.3,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.","William Shatner,Leonard Nimoy,DeForest Kelley,Nichelle Nichols,James Doohan,Eddie Paskey,George Takei,Walter Koenig,Majel Barrett,John Winston,Paul Baxley,David L. Ross,Grace Lee Whitney,Jay D. Jones,Sean Morgan,Bart La Rue,Barbara Babcock,Dick Geary",English,United States,80,3 seasons
Atypical,2017–2021,13,"30,m","Comedy,Drama",8.3,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","Jennifer Jason Leigh,Keir Gilchrist,Brigette Lundy-Paine,Michael Rapaport,Nik Dodani,Jenna Boyd,Graham Rogers,Fivel Stewart,Amy Okuda,Nina Ameri,Jeffrey Rosenthal,Domonique Brown,Rachel Redleaf,Raúl Castillo,Angel Laketa Moore,Kimia Behpoornia,Christina Offley,Wendy Braun",English,United States,38,4 seasons
Umbrella Academy,2019– ,16,"1,h","Action,Adventure,Comedy",8.0,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","Elliot Page,Tom Hopper,David Castañeda,Emmy Raver-Lampman,Robert Sheehan,Aidan Gallagher,Justin H. Min,Colm Feore,Ritu Arya,Jordan Claire Robbins,Kate Walsh,Adam Godley,Cameron Britton,Mary J. Blige,Yusuf Gatewood,Marin Ireland,Sheila McCarthy,John Magaro",English,"United States,Canada",30,3 seasons
The End of the F***ing World,2017–2019,16,"25,m","Adventure,Comedy,Crime",8.1,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in sea...","Jessica Barden,Alex Lawther,Steve Oram,Christine Bottomley,Naomi Ackie,Jonathan Aris,Wunmi Mosaku,Gemma Whelan,Josh Dylan,Navin Chowdhry,Jack Veal,Alexandria Riley,Florence Bell,Barry Ward,Kelly Harrison,Tim Key,Polly Kemp,Alex Sawyer",English,United Kingdom,16,2 seasons
Blacklist,2013– ,10,"43,m","Crime,Drama,Mystery",8.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking ...","James Spader,Megan Boone,Diego Klattenhoff,Ryan Eggold,Harry Lennix,Hisham Tawfiq,Amir Arison,Mozhan Marnò,Laura Sohn,Susan Blommaert,Baz,Parminder Nagra,Teddy Coluca,Deirdre Lovejoy,Genson Blimline,Emily Kell,Jonathan Holtzman,Katherine Kell",English,United States,181,9 seasons
Jujutsu Kaisen,2020– ,16,"24,m","Animation,Action,Adventure",8.7,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself...,"Junya Enoki,Adam McArthur,Yûichi Nakamura,Yuma Uchida,Asami Seto,Mitsuo Iwata,Chris Tergliafera,Nobunaga Shimazaki,Tomokazu Seki,Mikako Komatsu,Koki Uchiyama,Jun'ichi Suwabe,Tara Sands,Kenjirô Tsuda,Shigeru Chiba,Takaya Kuroda,Amber Lee Connors,Takahiro Sakurai",Japanese,Japan,24,2 years
The Killing,2011–2014,16,"45,m","Crime,Drama,Mystery",8.2,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.","Mireille Enos,Joel Kinnaman,Billy Campbell,Liam James,Michelle Forbes,Brent Sexton,Kristin Lehman,Eric Ladin,Jamie Anne Allman,Evan Bird,Seth Isaac Johnson,Tom Butler,Annie Corley,Gregg Henry,Brendan Sexton III,Amy Seimetz,Garry Chalk,Katie Findlay",English,"United States,Canada",44,4 seasons
The Originals,2013–2018,10,"45,m","Drama,Fantasy,Horror",8.2,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,"Joseph Morgan,Daniel Gillies,Claire Holt,Phoebe Tonkin,Charles Michael Davis,Yusuf Gatewood,Danielle Campbell,Leah Pipes,Riley Voelkel,Steven Krueger,Nathan Parsons,Nathaniel Buzolic,Sebastian Roché,Christina Moses,Maisie Richardson-Sellers,Andrew Lees,Colin Woodell,Rebecca Breeds",English,United States,92,5 seasons
Narcos: Mexico,2018–2021,18,"50,m","Crime,Drama",8.4,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,"Scoot McNairy,José María Yazpik,Alejandro Edda,Alfonso Dosal,Fermín Martínez,Diego Luna,Manuel Masalva,Matt Letscher,Mayra Hermosillo,Joaquín Cosio,Gorka Lasaosa,Fernanda Urrejola,Teresa Ruiz,Clark Freeman,Francisco Barreiro,Michael Peña,Tenoch Huerta,Gerardo Taracena",English,"Mexico,United States",30,3 seasons
FBI: Duo très spécial,2009–2014,Tous publics,"40,m","Comedy,Crime,Drama",8.2,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.","Matt Bomer,Tim DeKay,Willie Garson,Tiffani Thiessen,Sharif Atkins,Marsha Thomason,Hilarie Burton,Diahann Carroll,James Rebhorn,Natalie Morales,Bridget Regan,Gloria Votsis,Ross McCall,She,Alexandra Daddario,Treat Williams,Mark Sheppard,Gavin Lee","English,French",United States,81,6 seasons
